annotation,occurrences,files,libraries,library_ids,source_spellings
JacksonXmlProperty,52,9,1,log4j-core,JacksonXmlProperty
ConverterKeys,47,40,1,log4j-core,ConverterKeys
Weak,46,16,1,guava,Weak
PluginConfiguration,41,33,1,log4j-core,PluginConfiguration
RetainedLocalRef,40,9,1,guava,RetainedLocalRef
HandlerPriority,39,39,1,lombok,HandlerPriority
Required,39,28,1,log4j-core,Required
DoNotMock,36,32,1,guava,DoNotMock
Description,34,7,1,lombok,Description
AliasFor,32,17,1,spring-context,AliasFor
Immutable,29,28,1,guava,Immutable
ExperimentalApi,28,25,1,protobuf-java,ExperimentalApi
JsonIgnore,26,6,1,log4j-core,JsonIgnore
ConsumerType,25,24,1,org.osgi.core,ConsumerType
J2ObjCIncompatible,24,16,1,guava,J2ObjCIncompatible
Shorthand,24,7,1,lombok,Shorthand
RetainedWith,22,16,1,guava,RetainedWith
CompatibleWith,20,4,1,guava,CompatibleWith
EnumSource,20,12,1,commons-io,EnumSource
FromString,20,20,1,joda-time,FromString
Experimental,19,16,1,httpclient,Experimental
ExtendWith,17,17,1,junit-jupiter-api,ExtendWith
InternalApi,17,17,1,log4j-api,InternalApi
NotExtensible,17,17,1,mockito-core,NotExtensible
ToString,17,17,1,joda-time,ToString
Role,15,6,1,spring-context,Role
ForOverride,13,7,1,guava,ForOverride
Generated,12,12,1,mysql-connector-j,com.google.protobuf.Generated
InlineMeValidationDisabled,12,8,1,guava,InlineMeValidationDisabled
Annotated,11,7,1,commons-lang,Annotated
Param,11,3,1,commons-lang,Param
JacksonAnnotation,10,10,1,jackson-databind,JacksonAnnotation;com.fasterxml.jackson.annotation.JacksonAnnotation
PluginAliases,10,8,1,log4j-core,PluginAliases
Reflective,10,10,1,spring-context,Reflective
Setup,10,3,1,commons-lang,Setup
XmlAttribute,10,4,1,lombok,XmlAttribute
Bean,9,6,1,spring-context,Bean
Configuration,8,8,1,spring-context,Configuration
NestAnnotation,8,1,1,commons-lang,NestAnnotation
SetSystemProperty,8,2,1,commons-lang,SetSystemProperty
DeferUntilPostDiet,7,7,1,lombok,DeferUntilPostDiet
Import,7,7,1,spring-context,Import
PluginVisitorStrategy,7,7,1,log4j-core,PluginVisitorStrategy
ReadsDefaultLocale,7,5,1,commons-lang,ReadsDefaultLocale
ResourceLock,7,7,1,junit-jupiter-api,ResourceLock
JacksonXmlElementWrapper,6,5,1,log4j-core,JacksonXmlElementWrapper
Mandatory,6,5,1,lombok,Mandatory
SuppressSignatureCheck,6,4,1,mockito-core,SuppressSignatureCheck
DisabledOnOs,5,3,1,commons-io,DisabledOnOs
Enum,5,1,1,commons-io,CartesianTest.Enum
Identifier,5,1,1,mockito-core,Identifier
JSONCreator,5,4,1,fastjson,JSONCreator
Keep,5,2,1,guava,Keep
Origin,5,2,1,mockito-core,Advice.Origin;Origin
ReflectionSupport,5,5,1,guava,ReflectionSupport
Sequential,5,5,1,lombok,Sequential
Values,5,1,1,commons-io,Values
WritesSystemProperty,5,3,1,junit-jupiter-api,WritesSystemProperty
XmlElement,5,3,1,lombok,XmlElement
AllArguments,4,2,1,mockito-core,Advice.AllArguments;AllArguments
AlreadyHandledAnnotations,4,4,1,lombok,AlreadyHandledAnnotations
AsynchronouslyFormattable,4,4,1,log4j-api,AsynchronouslyFormattable
Component,4,4,1,spring-context,Component
Constraint,4,4,1,log4j-core,Constraint
DoNotInline,4,4,1,protobuf-java,DoNotInline
Enter,4,1,1,mockito-core,Advice.Enter
FullName,4,2,1,lombok,FullName
OnMethodEnter,4,1,1,mockito-core,Advice.OnMethodEnter
OnMethodExit,4,1,1,mockito-core,Advice.OnMethodExit
Order,4,4,1,log4j-core,Order
Return,4,1,1,mockito-core,Advice.Return
SetSystemProperties,4,2,1,commons-lang,SetSystemProperties
TargetApi,4,4,1,retrofit,TargetApi
Testable,4,4,1,junit-jupiter-api,Testable
ValidPort,4,3,1,log4j-core,ValidPort
XmlElementWrapper,4,2,1,lombok,XmlElementWrapper
Argument,3,2,1,mockito-core,Advice.Argument;Argument
Autowired,3,3,1,spring-context,Autowired
ConfiguratorRank,3,3,1,logback-classic,ConfiguratorRank
EnabledIf,3,1,1,commons-io,EnabledIf
EnabledOnOs,3,2,1,commons-io,EnabledOnOs
Excludes,3,2,1,lombok,Excludes
HashCodeExclude,3,1,1,commons-lang,HashCodeExclude
IntRangeSource,3,1,1,commons-lang,IntRangeSource
JSONField,3,3,1,fastjson,JSONField
JsonDeserialize,3,2,1,log4j-core,JsonDeserialize
JsonIgnoreProperties,3,3,1,log4j-core,JsonIgnoreProperties
JsonPropertyOrder,3,3,1,log4j-core,JsonPropertyOrder
PluginNode,3,3,1,log4j-core,PluginNode
TestAnnotation,3,1,1,commons-lang,TestAnnotation
XmlJavaTypeAdapter,3,3,1,lombok,XmlJavaTypeAdapter
AnnotationTestFixture,2,1,1,commons-lang,AnnotationTestFixture
AuthStateCacheable,2,2,1,httpclient,AuthStateCacheable
FormatMethod,2,2,1,guava,FormatMethod
Group,2,1,1,commons-io,Group
Header,2,1,1,log4j-core,Header
JSONType,2,2,1,fastjson,JSONType
JacksonXmlRootElement,2,2,1,log4j-core,JacksonXmlRootElement
JsonRootName,2,2,1,log4j-core,JsonRootName
PhaseIndicator,2,2,1,logback-classic,PhaseIndicator
PluginValue,2,2,1,log4j-core,PluginValue
ReadsDefaultTimeZone,2,2,1,commons-lang,ReadsDefaultTimeZone
Requires,2,2,1,lombok,Requires
ResolutionResetNeeded,2,2,1,lombok,ResolutionResetNeeded
RestrictedApi,2,1,1,guava,RestrictedApi
Scheduled,2,2,1,log4j-core,Scheduled
SupportedOptions,2,2,1,log4j-core,SupportedOptions
Tag,2,2,1,mysql-connector-j,Tag
TypeQualifierNickname,2,2,1,log4j-api,TypeQualifierNickname
ValidHost,2,2,1,log4j-core,ValidHost
BindingPriority,1,1,1,mockito-core,BindingPriority
CompileTimeConstant,1,1,1,protobuf-java,CompileTimeConstant
Conditional,1,1,1,spring-context,Conditional
DefaultClass,1,1,1,logback-classic,DefaultClass
DiffExclude,1,1,1,commons-lang,DiffExclude
DisabledIfSystemProperty,1,1,1,junit-jupiter-api,DisabledIfSystemProperty
DisplayNameGeneration,1,1,1,junit-jupiter-api,DisplayNameGeneration
EqualsExclude,1,1,1,commons-lang,EqualsExclude
EverythingIsNonNull,1,1,1,retrofit,retrofit2.internal.EverythingIsNonNull
ExampleValueString,1,1,1,lombok,ExampleValueString
ExportTo,1,1,1,log4j-core,ExportTo
Indexed,1,1,1,spring-context,Indexed
JsonAnyGetter,1,1,1,log4j-core,JsonAnyGetter
JsonFilter,1,1,1,log4j-core,JsonFilter
JsonUnwrapped,1,1,1,log4j-core,JsonUnwrapped
MethodFactory,1,1,1,commons-lang,CartesianTest.MethodFactory
MustBeClosed,1,1,1,guava,MustBeClosed
NotThreadSafe,1,1,1,log4j-api,NotThreadSafe
Option,1,1,1,log4j-core,Option
OverridingMethodsMustInvokeSuper,1,1,1,guava,OverridingMethodsMustInvokeSuper
RepeatedTest,1,1,1,commons-lang,RepeatedTest
SuperMethod,1,1,1,assertj-core,SuperMethod
TestMethodAnnotation,1,1,1,commons-lang,TestMethodAnnotation
TestTemplate,1,1,1,junit-jupiter-api,TestTemplate
ThreadSafe,1,1,1,maven-plugin-api,ThreadSafe
ToStringExclude,1,1,1,commons-lang,ToStringExclude
ToStringSummary,1,1,1,commons-lang,ToStringSummary
WritesDefaultTimeZone,1,1,1,junit-jupiter-api,WritesDefaultTimeZone
XmlRootElement,1,1,1,lombok,XmlRootElement
